u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id,Ratio
95663385,95663376,Βερανζέρου,residential,yes,112.346,,,,,,,,,,130,3.098229361919663e-05
635138659,95663386,Σωκράτους,tertiary,yes,31.544,2,,,,,,,,,131,5.163715603199438e-06
635138659,635138665,Ξούθου,service,,64.13,,,,,,,,,,132,0.0
11256819886,250720871,Σωκράτους,tertiary,yes,51.85,2,,,,,,,,,133,8.261944965119101e-05
11256819886,11256886099,,service,,98.669,,,,,,,no,,,134,0.0
250720871,7214467394,Σωκράτους,tertiary,yes,101.966,2,,,,,,,,,135,0.001017251973830289
250720871,250720872,Αγίου Κωνσταντίνου,primary,yes,113.75,3,,ΕΟ8,,50,,,,,136,0.006175803861426528
97846091,250691664,"['Αιόλου', 'Σταύρου Γεωργίου', 'Λυκούργου']","['pedestrian', 'living_street', 'residential']",yes,312.63100000000003,"['1', None]",,,,,,,,,137,0.0
97846091,6724001742,Αθηνάς,tertiary,no,117.185,2,,,,,,,,,138,0.0008210307809087107
633562896,97834824,Κωσταντίνου Παλαιολόγου,residential,yes,69.143,,,,,,,,,,139,0.0001084380276671882
250706414,250691670,Κολοκοτρώνη,residential,yes,80.459,1,,,,,,,,,140,0.0002581857801599719
42240105,250706414,"['Βουλής', 'Καραγιώργη Σερβίας']",residential,yes,252.419,,,,,,,,,,141,0.002623167526425314
250691755,2313405235,Λυκαβηττού,tertiary,yes,34.652,2,,,,,,,,,142,0.0006351370191935309
250691755,250692359,Ακαδημίας,secondary,yes,69.952,4,,,,,,,,,143,0.00928952437015579
2313405235,300401360,Λυκαβηττού,tertiary,yes,20.819,2,,,,,,,,,144,0.000624809587987132
2313405235,2313405251,,service,,36.989,,,,,,,,,,145,5.163715603199438e-06
300401360,250691753,Λυκαβηττού,tertiary,yes,54.961,2,,,,,,,,,146,0.0006041547255743343
300401360,300401271,Σούτσου Αλ.,residential,yes,69.242,,,,,,,,,,147,1.032743120639888e-05
250691753,10134034294,Σόλωνος,secondary,yes,82.491,2,,,,,,,,,148,0.0003976061014463567
10134034294,300400470,Ομήρου,residential,yes,111.336,,,,,,,,,,149,0.0002168760553343764
10134034294,10134034290,Σόλωνος,secondary,yes,95.012,2,,,,,,,,,150,5.680087163519382e-05
250714052,3731648988,Χαλκοκονδύλη,secondary,yes,79.56099999999999,2,,,,,,,,,151,0.01091093106956041
250714052,250714050,Πατησίων,primary,yes,65.619,3,,ΕΟ1,,,,,,,152,0.01016219230709649
3339821648,250691717,Κριεζώτου,residential,yes,111.328,,,,,,,,,,153,0.0
3339821648,250691723,Πανεπιστημίου,primary,yes,161.301,"['4', '5']",,,,50,,,,,154,0.00862856877294626
250691717,250691794,Κριεζώτου,residential,yes,57.032,,,,,,,,,,155,0.0
250691717,4040706197,,service,,13.506,,,,,,,,,,156,0.0
250691794,250691793,Ακαδημίας,secondary,yes,21.315,4,,,,,,,,,157,0.008876427121899835
250691793,250692062,Πινδάρου,residential,yes,51.888000000000005,,,,,,,,,,158,0.0001704026149055814
250691793,6220792260,Ακαδημίας,secondary,yes,29.194000000000003,4,,,,,,,,,159,0.008644059919755859
250692062,250692063,Πινδάρου,residential,yes,56.744,,,,,,,,,,160,3.614600922239607e-05
